#group,false,false,false,true,true,true,true,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double
#default,mean,,,,,,,
,result,table,_time,_start,_stop,_field,pairAddress,_value
,,42,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x066459c97ed32a1a6f2dd56986b9c3457a65ed69,29.725
,,43,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x068a34bc6ef42295a9a13760f79291d12ae7033e,15.44
,,44,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x06f59bb17a8657cf0a787d5a351523a7ea7c5aaf,12.93939393939394
,,45,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x06f6c32da32a950ad4bc06f5371104662cf7d530,12.642857142857142
,,46,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0707eaa86aec3acbbf9241b48958cf78a2a28607,16.77
,,47,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x070858fb2c8888d64bbcc35cd771542a01d91886,12.2
,,48,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0729f6aec8c4635f028c99ba3e552c70017b2bb2,20.8125
,,49,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x074ceb1b723ce243edae5f81accd8da6803bbbaa,12.513513513513514
,,50,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x07551f8b561881246f1c28e5dd54224996bd00e9,7.08
,,51,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x076a3e1500f3110d8f4445d396a3d7ca6d0ca269,575.33
,,52,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0787c913cdd930f818c62f25b91fa0d8929243b0,11.095238095238095
,,53,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x07a6b4a54df259f4a32a3b353fed62bdd576c1b1,12.214285714285714
,,54,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x07af82fa150abffcec6e299b067834edee067a4e,6.66
,,55,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x07e64f0fe6cfe0e746b872c4c8d584fc02a280e2,16.3125
,,56,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x07f03a28a7a85d54abcfcbb2173128022eed9ecd,99.88
,,57,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x081201c7823b8b2f5ae154b651c8400d091553c9,22.42105263157895
,,58,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x082d561f39c3e62e67789f8ea684ef154e72e8fc,36.714285714285715
,,59,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x08305a6ea37ea23e9f5079fbcdc4127c809219b1,35.92307692307692
,,60,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x087a5912bf02ad3dbce7566e070716d598456705,15
,,61,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x088543e763b54c3be7f67afa36c8a15393193ead,16
,,62,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x08c71003cdfdd9b5b766b580a0d15dce9d618f85,51.92
,,63,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x08c83a0083e5dfbed33b19f2ecc0dae16ed5c6ab,40.27272727272727
,,64,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0904faacd2570831a89a24f245291472e64589e4,24.846153846153847
,,65,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0920f656773460883632cb257e9cb94e013ddecc,46.86363636363637
,,66,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x095af5c69714d12e7511430046e0e98e8a226c6e,16.181818181818183
,,67,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x09c9bf443d44e46e0139eb2e6f5d508085e2c09e,22.545454545454547
,,68,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x09d4599213810069dc6e018966db247eab0a4b82,8.21
,,69,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0a03ed8d724177d96be601c02774055a7c9d9eaa,30.142857142857142
,,70,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0a35986d4bd489188b7e2e4467fcc7ee4550e7da,59.666666666666664
,,71,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0a3f7466d1d362b61c2b46b285dcff8b0d338a2d,14.75
,,72,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0a48db500eb930dda5407e415252149b002b8132,21.28
,,73,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0a83e0b493143ac325a2d919fdf59cd93ead4abd,25.1875
,,74,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0a89b85d2984553674afd023e5df25e555770945,35.13333333333333
,,75,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0a8aaf5e6a799a8f04347ea13e81295e5d97e4ac,7.75
,,76,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0a8ebdc9d13dda490e884e94c7d537f0ffa9f9b0,17.941176470588236
,,77,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0aaaa984061058b19470dd01c67073a4510c41ce,34.49
,,78,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0ab1e83e25cc44e998f0cb641bc3f6a352877b1a,27.93617021276596
,,79,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0ac4f4f5e15425bee47b1a47074bd79a1dadee0a,20.457142857142856
,,80,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0b0074b270be9a07a7b68e4638de453c4c02a071,19.78
,,81,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0b070a58cc07d2088dbc4c3540ab76d73afae4ea,48.57142857142857
,,82,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0b273b8394ec8c51a85701695a46c450af419e6b,31
,,83,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0b2f65157ed6021fb0ee2a64dd71148345236fbb,28.142857142857142
,,84,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0b58f4e5d5e3a4d017d58d07a24ef5dad2d33483,37.09090909090909
,,85,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0b64502fdccb3b89e51639e1bb8453679fa19f3d,39.43
,,86,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0b86d6ed76eea3cf135c50ee4c91964c07842318,15.526315789473685
,,87,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0b91c579160bba9babd554346fa420dcc2fb5442,10.258064516129032
,,88,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0bca6a064eb751008329abdd352dd40370f12278,18.166666666666668
,,89,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0be9c9195af83e3d76997d1cfa5e5b9299942008,13.03448275862069
,,90,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0be9ed2767f5c9102c6808a6d6b05a1587b57ca4,43.205128205128204
,,91,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0bf842700a8c35edeb40aee772705eb96a52f41c,6.43
,,92,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0bff9f24fef0430132093e80f1305448fe8bb5cd,45.44827586206897
,,93,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0c05e2dc84262be57dbd067743d4e2ee89603182,20.428571428571427
,,94,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0c339ee0085936e6185e08733b261423c3a50156,21.69
,,95,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0c6978e3e985cd3d06350bbeb569d20c7d230c62,7.333333333333333
,,96,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0ca27d83ea353f6aaf72a3edafbb74620464d0dc,44.97142857142857
,,97,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0cb590694a43d793fc7555cb63ca38a8e43fd8b5,29.75
,,98,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0cf3d820078254aaa2d7c66d28280aa93d0bc8b5,22.41176470588235
,,99,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0d351a5a149eb07a32adf82735fda28685c27bb7,53.88235294117647
,,100,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0d89b0fac95be1f4412a385ac45330de6ada012e,10.547619047619047
,,101,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0dd18f6efdf32b349e39889ad2adff45f0744aee,26.126582278481013
,,102,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0e295ded5180f7f0f5608ce6854f46ab8d445fb8,6.862068965517241
,,103,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0eb310d9ec65b2c3e29a0f461c955e763c20a49f,11.553571428571429
,,104,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0ebc29668011252d5706253467ecd205365a054b,29.5
,,105,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0eddb3da7e77ab4f5f1f636f711b320e6225c46d,91.32
,,106,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0eeb9fa95738f8477aa1d7b4e2e20df4944aa572,34.12765957446808
,,107,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0f60b8f14138ed72665b2761e809bacae6d67aa8,14.06060606060606
,,108,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0f8d2c3e4426023180c1e8ef724f2a8cc098c505,15.586206896551724
,,109,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x0ff4bec499bd2cbac0143c2be7694ebc2a7d1444,15.74074074074074
,,110,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x100663ae4446a02835aa63536628ed43b3e370ad,29.8125
,,111,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x10347a8a76ac4ba13f06f790a1124ae4169959d1,12.956521739130435
,,112,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x105af6ed72d373b685b0a36347be7e08efa87536,50.75
,,113,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x1083f052d8b86037ac978f1da5bb84db4448f995,11.16326530612245
,,114,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x109dfdb04dc1bb3e13c4c8e6ed4df1891417da69,18.559322033898304
,,115,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x109e4d8bdc7de182438dc1629a8d14d3dd40bf1e,14.961538461538462
,,116,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x10bf14ff90e1dd79807d2bede0f605a44634d1d0,19.205882352941178
,,117,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x10c5f7e650e25887cb4d8b2b0400af31cb55b58f,75
,,118,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x1103116655653590c7448244a06d39efb8a9f866,15.333333333333334
,,119,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x111634b3bf4d203e158b9a0a0d2f46b63c745530,10.953125
,,120,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x1118258c737f9ce3c0958e6cc421afcf834fb70f,18.31578947368421
,,121,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x112249af4362137e84cc8dd8e1d3cca726725379,28.8
,,122,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x1144bb78db2dd3d24ca786ab6aeebd78b4009a63,65.53
,,123,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x1174913016458adc8b2935924801dab93ab68bcd,12.02
,,124,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x1241fe80448aad18f50fbbc081549d2a7cf80521,8.378378378378379
,,125,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x124e831ac7690d0e77dc327abdb28106e6e3f242,24.35483870967742
,,126,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x125e5bdcf3470f483b5e4099582abb065bff152d,36.85294117647059
,,127,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x12645a6dbb1c3a623c2079abd56f515a6c51f66a,23
,,128,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x1272fd4d3efc838657e9fb889da9e5ad525deaf2,48.883720930232556
,,129,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x1282b50a51f0694a418e7555dfff1e8cd1a5a416,33.0625
,,130,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x1298bfbc405048f70539746eecb52d9aba9de75e,23.833333333333332
,,131,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x12a1ed03810c273c98109277bd1f8ef0459b7579,11
,,132,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x12ab41646f6dbbdfe8297c73d3c4a1ebdf6e881e,24.8
,,133,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x12b1f0eb89ccf823ce45192780abf696bf2c68dc,11.818181818181818
,,134,2023-08-01T03:15:16.745671Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x12d6d4e14a60d8bd26c0ecf112b25eb46cef8113,8.884057971014492
,,135,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x12eb1fb4b0c143b3038a44ea10927976cc2543a9,18.333333333333332
,,136,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x1314674e29ddb57e7cc4057a089169f2b737e79e,9.5
,,137,2023-08-01T03:00:00Z,2023-07-02T03:15:16.745671Z,2023-08-01T03:15:16.745671Z,hourlyTxns,0x131e29f1a01b18b93856c5a0abd3e9a0f3eb35b9,19.25
